1	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:01.84	
2	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:01.92	
3	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.00	
4	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.07	
5	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.15	
6	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.23	
7	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.31	
8	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.39	
9	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.46	
10	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.54	
11	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.62	
12	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.70	
13	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.78	
14	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.85	
15	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:02.93	
16	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.01	
17	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.07	
18	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.17	
19	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.25	
20	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.32	
21	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.40	
22	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.48	
23	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.56	
24	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.64	
25	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.71	
26	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.79	
27	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.87	
28	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:03.95	
29	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.03	
30	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.10	
31	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.18	
32	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.26	
33	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.34	
34	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.42	
35	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.48	
36	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 000 184 068 	0	7	05:32:04.57	
37	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 013 121 129 	13	7	05:32:04.65	
38	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 008 185 130 	8	7	05:32:04.73	
39	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 010 056 067 	10	7	05:32:04.81	
40	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 022 057 138 	22	7	05:32:04.89	
41	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 033 120 092 	33	7	05:32:04.96	
42	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 040 184 090 	40	7	05:32:05.04	
43	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 052 185 147 	52	7	05:32:05.12	
44	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 049 121 144 	49	7	05:32:05.20	
45	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 060 184 085 	60	7	05:32:05.28	
46	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 072 184 114 	72	7	05:32:05.35	
47	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 076 185 177 	76	7	05:32:05.43	
48	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 083 248 121 	83	7	05:32:05.51	
49	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 085 120 123 	85	7	05:32:05.59	
50	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 097 121 172 	97	7	05:32:05.67	
51	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 105 120 106 	105	7	05:32:05.73	
52	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 113 120 096 	113	7	05:32:05.82	
53	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 114 056 097 	114	7	05:32:05.90	
54	0024h	001 003 000 036 000 001 196 001 	001 003 002 000 121 121 166 	121	7	05:32:05.98	
